,dataset,samples,features,regressor,time,acc_score,ll_score,model
274,mushroom,8124,22,GradientBoostingClassifier,0.415026188,1,0.002650769,
275,parity5+5,1124,10,GradientBoostingClassifier,0.083222628,0.341637011,0.754738223,
276,phoneme,5404,5,GradientBoostingClassifier,1.03902936,0.85788305,0.319291798,
277,ring,7400,20,GradientBoostingClassifier,6.089079142,0.956216216,0.165022688,
278,spambase,4601,57,GradientBoostingClassifier,1.735619545,0.953084275,0.141304763,
279,twonorm,7400,20,GradientBoostingClassifier,8.201294184,0.965945946,0.116222561,
280,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,HistGradientBoostingClassifier,12.20651221,0.49,0.784487007,
281,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,HistGradientBoostingClassifier,0.449999571,0.615,0.689736968,
282,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,HistGradientBoostingClassifier,0.402999401,0.73,0.536980515,
283,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,HistGradientBoostingClassifier,0.41599679,0.54,0.773439775,
284,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,HistGradientBoostingClassifier,0.433999062,0.6375,0.683610335,
285,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,HistGradientBoostingClassifier,0.409002304,0.655,0.640085954,
