algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
RILSROLS,feynman_I_16_6,0.001,Feynman,0.0,0.0,0.06486075296073432,0.004198092938333976
RILSROLS,feynman_I_16_6,0.01,Feynman,0.0,0.0,0.07988773722380561,0.006361771509618371
RILSROLS,feynman_I_16_6,0.1,Feynman,0.0,0.0,0.20529414386145417,0.04128174690158579
RILSROLS,feynman_I_18_12,0.0,Feynman,100.0,1.0,2.5666482146313e-15,0.0
RILSROLS,feynman_I_18_12,0.001,Feynman,100.0,1.0,2.5666482146313e-15,0.0
RILSROLS,feynman_I_18_12,0.01,Feynman,90.0,1.0,2.5666482146313e-15,0.0
RILSROLS,feynman_I_18_12,0.1,Feynman,33.33333333333333,0.0,0.42171010616086163,0.16368175474683833
RILSROLS,feynman_I_18_14,0.0,Feynman,100.0,1.0,9.574718175859947e-15,0.0
RILSROLS,feynman_I_18_14,0.001,Feynman,100.0,1.0,9.575215910375809e-15,0.0
RILSROLS,feynman_I_18_14,0.01,Feynman,80.0,1.0,9.68983279300746e-15,0.0
RILSROLS,feynman_I_18_14,0.1,Feynman,0.0,0.0,2.6290880549674394,2.0683937389221487
RILSROLS,feynman_I_18_4,0.0,Feynman,60.0,1.0,6.3894468429892e-16,0.0
