label	label2	algorithm	dataset	target_noise	data_group	symbolic_solution_rate_(%)	accuracy_solution	rmse_test	log_mse_test
AFP_0_Feynman	AFP_0	AFP	feynman_II_34_2a	0	Feynman	62.5	1	0.00019169401482	3.67E-08
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_34_2a	0.001	Feynman	40	1	0.000502311865649	2.52E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_34_2a	0.01	Feynman	50	1	0.000224609927187	5.04E-08
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_34_2a	0.1	Feynman	40	1	0.001498434118358	2.25E-06
AFP_0_Feynman	AFP_0	AFP	feynman_II_35_18	0	Feynman	0	0	0.071458392370426	0.005093308892762
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_35_18	0.001	Feynman	0	0	0.069903375536047	0.004874581809276
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_35_18	0.01	Feynman	0	0	0.077452637201372	0.005980989181382
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_35_18	0.1	Feynman	0	0	0.078788926326779	0.006188506543083
AFP_0_Feynman	AFP_0	AFP	feynman_II_35_21	0	Feynman	0	0	0.837326122314221	0.531283939057553
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_35_21	0.001	Feynman	0	0	0.888688782664716	0.58208586419124
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_35_21	0.01	Feynman	0	0	0.962598187472551	0.655754336508849
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_35_21	0.1	Feynman	0	0	0.981712226950129	0.674860440962349
AFP_0_Feynman	AFP_0	AFP	feynman_II_36_38	0	Feynman	0	0	0.320139940329003	0.097570878311318
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_36_38	0.001	Feynman	0	0	0.304200956232037	0.088503632979732
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_36_38	0.01	Feynman	0	0	0.365287401557203	0.125252744001253
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_36_38	0.1	Feynman	0	0	0.325274614530778	0.100572287741706
AFP_0_Feynman	AFP_0	AFP	feynman_II_37_1	0	Feynman	75	1	1.02E-14	0
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_37_1	0.001	Feynman	60	1	0.000810352590834	6.57E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_37_1	0.01	Feynman	50	1	0.005178628072457	2.68E-05
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_37_1	0.1	Feynman	30	1	0.078877663881362	0.006202411078356
AFP_0_Feynman	AFP_0	AFP	feynman_II_38_14	0	Feynman	0	1	0.001814386656529	3.29E-06
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_38_14	0.001	Feynman	20	1	0.000896937922593	8.04E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_38_14	0.01	Feynman	10	1	0.000117615130481	1.38E-08
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_38_14	0.1	Feynman	10	1	0.00297418742068	8.85E-06
AFP_0_Feynman	AFP_0	AFP	feynman_II_38_3	0	Feynman	25	1	6.31E-10	0
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_38_3	0.001	Feynman	90	1	4.01E-15	0
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_38_3	0.01	Feynman	40	1	0.002748353339979	7.55E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_38_3	0.1	Feynman	70	1	4.07E-15	0
AFP_0_Feynman	AFP_0	AFP	feynman_II_3_24	0	Feynman	37.5	1	0.00050477776114	2.55E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_3_24	0.001	Feynman	40	1	0.000446708556483	2.00E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_3_24	0.01	Feynman	40	1	0.000542119684326	2.94E-07
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_3_24	0.1	Feynman	50	1	0.000133385303914	1.78E-08
AFP_0_Feynman	AFP_0	AFP	feynman_II_4_23	0	Feynman	25	1	0.000711141199653	5.06E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_4_23	0.001	Feynman	30	1	0.000547579498458	3.00E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_4_23	0.01	Feynman	40	1	0.000491508677034	2.42E-07
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_4_23	0.1	Feynman	50	1	7.15E-05	5.12E-09
AFP_0_Feynman	AFP_0	AFP	feynman_II_6_11	0	Feynman	12.5	0	0.003930493442418	1.54E-05
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_6_11	0.001	Feynman	10	0	0.002084486547582	4.35E-06
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_6_11	0.01	Feynman	10	0	0.002218237351565	4.92E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_6_11	0.1	Feynman	0	0	0.003550475815136	1.26E-05
AFP_0_Feynman	AFP_0	AFP	feynman_II_6_15a	0	Feynman	0	0	0.066878172013579	0.00446271714007
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_6_15a	0.001	Feynman	0	0	0.051893296573556	0.002689294832109
