,dataset,Rils-Rols,AIFeynman,Operon,AFP_FE,AFP,BSR,DSR,EPLEX,FEAT,FFX,GP-GOMEA,ITEA,MRGP,SBP-GP,gplearn,noise
17,feynman_II_11_28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
18,feynman_II_11_3,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
19,feynman_II_13_23,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
20,feynman_II_13_34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
21,feynman_II_15_4,80,10.0,0.0,10.0,50.0,0.0,100.0,50.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.01
22,feynman_II_15_5,90,20.0,0.0,50.0,40.0,0.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.01
23,feynman_II_21_32,30,85.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
24,feynman_II_24_17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
25,feynman_II_27_16,100,0.0,0.0,30.0,30.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.01
26,feynman_II_27_18,100,0.0,0.0,30.0,60.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.01
27,feynman_II_2_42,70,70.0,0.0,40.0,30.0,0.0,90.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,30.0,0.01
28,feynman_II_34_11,90,40.0,0.0,60.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.01
29,feynman_II_34_2,90,10.0,0.0,70.0,60.0,0.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
30,feynman_II_34_29a,0,30.0,20.0,70.0,50.0,0.0,0.0,10.0,0.0,0.0,60.0,60.0,0.0,0.0,10.0,0.01
31,feynman_II_34_29b,0,0.0,0.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.01
32,feynman_II_34_2a,0,20.0,40.0,60.0,50.0,0.0,10.0,10.0,0.0,0.0,40.0,80.0,0.0,0.0,10.0,0.01
33,feynman_II_35_18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
34,feynman_II_35_21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
35,feynman_II_36_38,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.01
36,feynman_II_37_1,100,0.0,0.0,60.0,50.0,0.0,100.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,90.0,0.01
37,feynman_II_38_14,100,40.0,0.0,30.0,10.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
38,feynman_II_38_3,90,10.0,0.0,50.0,40.0,0.0,100.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,80.0,0.01
39,feynman_II_3_24,100,0.0,30.0,50.0,40.0,0.0,10.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,40.0,0.01
40,feynman_II_4_23,100,30.0,10.0,40.0,40.0,0.0,10.0,20.0,0.0,0.0,40.0,70.0,0.0,0.0,10.0,0.01
41,feynman_II_6_11,90,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.01
42,feynman_II_6_15a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
43,feynman_II_6_15b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.01
44,feynman_II_8_31,90,0.0,0.0,60.0,70.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.01
45,feynman_II_8_7,0,50.0,0.0,70.0,50.0,0.0,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,30.0,0.01
